hour,t(sec),"S1 (kVA)",Ang1,"S2 (kVA)",Ang2,"S3 (kVA)",Ang3
0, 900.00000, 2184.47, -175.359, 2250.26, -175.285, 2215.62, -173.848
0, 1800.00000, 2241, -174.94, 2300.89, -174.571, 2258.87, -173.438
0, 2700.00000, 2124.25, -176.05, 2169.99, -175.834, 2140.48, -174.88
1, 0.00000, 2106.51, -176.125, 2131.08, -176.03, 2115.85, -175.501
1, 900.00000, 2057.67, -176.626, 2080.87, -176.699, 2071.65, -176.107
1, 1800.00000, 2010.1, -176.957, 2036.94, -177.197, 2031, -176.422
1, 2700.00000, 2036.55, -176.247, 2059.05, -177.092, 2073.98, -176.134
2, 0.00000, 2083.39, -175.367, 2103.46, -176.685, 2135.05, -175.562
2, 900.00000, 1959, -177.851, 2005.89, -177.823, 1982, -176.663
2, 1800.00000, 1977.44, -177.615, 2030.53, -177.583, 2003.55, -176.284
2, 2700.00000, 1988.59, -177.568, 2036.9, -177.471, 2010.25, -176.326
3, 0.00000, 1953.73, -177.808, 2003.85, -177.806, 1979.18, -176.55
3, 900.00000, 1994.03, -177.079, 2052.17, -177.396, 2033.4, -175.821
3, 1800.00000, 2074.99, -176.232, 2129.94, -176.456, 2110.11, -175.053
3, 2700.00000, 2040.23, -176.789, 2095.65, -177.074, 2077.41, -175.61
4, 0.00000, 2050.03, -177.181, 2116.4, -177.305, 2087.9, -175.666
4, 900.00000, 2177.08, -175.917, 2258.04, -176.249, 2229.79, -174.284
4, 1800.00000, 2234.5, -175.554, 2331.72, -175.891, 2296.3, -173.625
4, 2700.00000, 2333.52, -175.474, 2412.16, -175.56, 2376.89, -173.876
5, 0.00000, 2423.57, -174.208, 2472.18, -175.248, 2486.58, -173.763
5, 900.00000, 2581.1, -172.183, 2614.73, -173.745, 2659.16, -172.342
5, 1800.00000, 2717.34, -171.666, 2785.29, -172.816, 2799.58, -171.044
5, 2700.00000, 2669.24, -172.62, 2741.24, -173.365, 2736.36, -171.691
6, 0.00000, 2685.23, -172.848, 2771.57, -173.222, 2744.81, -171.477
6, 900.00000, 2799.73, -172.22, 2861.23, -172.163, 2828.54, -171.113
6, 1800.00000, 2797.21, -171.869, 2831.31, -171.713, 2807.77, -171.188
6, 2700.00000, 2942.2, -171.8, 2996.85, -171.366, 2950.42, -170.662
7, 0.00000, 3003.83, -171.712, 3097.95, -171.465, 3040.58, -170.05
7, 900.00000, 3088.89, -171.203, 3176.19, -171.368, 3141.24, -169.907
7, 1800.00000, 3051.16, -170.985, 3100.31, -171.299, 3090.59, -170.354
7, 2700.00000, 3187.85, -169.973, 3218.88, -170.664, 3236.88, -169.845
8, 0.00000, 3134.96, -170.988, 3198.84, -171.899, 3210.85, -170.461
8, 900.00000, 3249.78, -169.742, 3318.05, -171.505, 3371.51, -169.628
8, 1800.00000, 3375.13, -169.191, 3480.25, -170.423, 3492.49, -168.322
8, 2700.00000, 3368.85, -169.547, 3462.82, -169.816, 3430.7, -168.324
9, 0.00000, 3465.67, -169.079, 3527.29, -169.102, 3498.1, -168.216
9, 900.00000, 3462.25, -169.24, 3555.24, -169.214, 3508.29, -167.912
9, 1800.00000, 3499.45, -169.951, 3640.28, -169.566, 3551.21, -167.787
9, 2700.00000, 3541.07, -170.1, 3701.43, -169.485, 3590.23, -167.568
10, 0.00000, 3633.15, -169.584, 3828.49, -169.216, 3713.91, -166.785
10, 900.00000, 3656.58, -169.321, 3817.34, -169.28, 3737.23, -167.165
10, 1800.00000, 3704.99, -168.817, 3830.38, -168.934, 3775.91, -167.229
